,loss,accuracy,val_loss,val_accuracy
0,4.658824920654297,0.6875945329666138,0.4984222650527954,0.8095238208770752
1,0.40286582708358765,0.8350983262062073,0.31398364901542664,0.8571428656578064
2,0.39548125863075256,0.8630862236022949,0.32822272181510925,0.8857142925262451
3,0.2759457528591156,0.9001513123512268,0.27531206607818604,0.9047619104385376
4,0.27462396025657654,0.9009076952934265,0.2126442790031433,0.9238095283508301
5,0.20398259162902832,0.9122541546821594,0.38995546102523804,0.8666666746139526
6,0.2051517367362976,0.9288955926895142,0.30978110432624817,0.9238095283508301
7,0.1440104991197586,0.9462934732437134,0.2876018285751343,0.9333333373069763
8,0.1608285903930664,0.9432677626609802,0.21882008016109467,0.9333333373069763
9,0.14665019512176514,0.950075626373291,0.32889828085899353,0.9428571462631226
10,0.13036701083183289,0.9508320689201355,0.49636346101760864,0.8380952477455139
11,0.1883215606212616,0.9349470734596252,0.2769259810447693,0.9333333373069763
12,0.12245646864175797,0.9576399326324463,0.25982537865638733,0.9142857193946838
